Parameter,Type,Min,Max,Default,Description,Example
Report_Event_Recorder,boolean,0,1,0,Set to true (1) to enable or to false (0) to disable the ReportEventRecorder.csv output report that lists individual events in the simulation. See :doc:`parameter-campaign-event-list` for a list of all possible built-in events that will be recorded in the output when enabled.,[link](../json/config-output-generic_Report_Event_Recorder.json)
Report_Event_Recorder_Events,array,NA,NA,,"The list of events to include or exclude in the ReportEventRecorder.csv output report, based on how **Report_Event_Recorder_Ignore_Events_In_List** is set. See :doc:`parameter-campaign-event-list` for a list of all possible built-in events. You can also define events in **Custom_Individual_Events**. The list cannot be empty.",[link](../json/config-output-generic_Report_Event_Recorder_Events.json)
Report_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Event_Recorder_Events** array will be included in the ReportEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty. 

.. csv-table::
    :header: Value, Events array, Output file 
    :widths: 1, 2, 2

    0, No events, No events
    0, One or more events, Only the listed events.
    1, No events, All events occurring in the simulation.
    1, One or more events, ""All simulation events occurring in the simulation, except for those listed.""",[link](../json/config-output-generic_Report_Event_Recorder_Ignore_Events_In_List.json)
Report_Event_Recorder_Individual_Properties,array of strings,NA,NA,[],"Specifies an array of (optional) individual property keys, as defined in **IndividualProperties** in the demographics file, to be added as additional columns to the output report. Individual's IP value will be added to the (key) column at the time of the event.",[link](../json/config-output-generic_Report_Event_Recorder_Individual_Properties.json)
Reporting_Interval,float,1,1000000,1000000,Used by reports and custom reports. Defines the cadence of the report by specifying how many time steps to collect data before writing to the file.,[link](../json/config-output-generic_Reporting_Interval.json)
Report_Node_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportNodeEventRecorder.csv output report. When enabled (set to 1) reports will be generated for the broadcasted valid node events, as specified in **Report_Node_Event_Recorder_Events**.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Node_Event_Recorder.json)
Report_Node_Event_Recorder_Events,array of strings,NA,NA,NA,"The list of node events to include or exclude in the ReportNodeEventRecorder.csv output report, based on how **Report_Node_Event_Recorder_Ignore_Events_In_List** is set.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Node_Event_Recorder_Events.json)
Report_Node_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the node events listed in the **Report_Node_Event_Recorder_Events** array will be included in the ReportNodeEventRecorder.csv output report. If set to true (1), only the node events listed in the array will be excluded, and all other node events will be included. If you want to return all node events from the simulation, leave the node events array empty.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.

.. csv-table::
    :header: Value, Events array, Output file 
    :widths: 1, 2, 2

    0, No events, No events
    0, One or more events, Only the listed events.
    1, No events, All events occurring in the simulation.
    1, One or more events, ""All simulation events occurring in the simulation, except for those listed.""",[link](../json/config-output-generic_Report_Node_Event_Recorder_Ignore_Events_In_List.json)
Report_Node_Event_Recorder_Node_Properties,array of strings,NA,NA,[],"Specifies an array of (optional) node property keys, as defined in **NodeProperties** in the demographics file, to be added as additional columns to the ReportNodeEventRecorder.csv output report.",[link](../json/config-output-generic_Report_Node_Event_Recorder_Node_Properties.json)
Report_Node_Event_Recorder_Stats_By_IPs,array of strings,NA,NA,[],"Specifies an array of (optional) individual property keys, as defined in **IndividualProperties** in the demographics file, to be added to the ReportNodeEventRecorder.csv output report. For each key:value pair there will be two additional columns (Key:Value:NumIndividuals, Key:Value:NumInfected) added to the report. For example, with a Risk property key assigned the values of LOW and HIGH there would then be four additional columns (Risk:LOW:NumIndividuals, Risk:LOW:NumInfected, Risk:HIGH:NumIndividuals, Risk:HIGH:NumInfected). An empty array equals no additional columns added.",[link](../json/config-output-generic_Report_Node_Event_Recorder_Stats_By_IPs.json)
Report_Surveillance_Event_Recorder,boolean,0,1,0,"Enables or disables the ReportSurveillanceEventRecorder.csv output report. When enabled (set to 1) reports will be generated for the broadcasted valid coordinator events, as specified in **Report_Surveillance_Event_Recorder_Events**.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Surveillance_Event_Recorder.json)
Report_Surveillance_Event_Recorder_Events,array of strings,NA,NA,NA,"The list of events to include or exclude in the ReportSurveillanceEventRecorder.csv output report, based on how **Report_Surveillance_Event_Recorder_Ignore_Events_In_List** is set. This list must not be empty and is  dependent upon **Report_Surveillance_Event_Recorder** being enabled.

Note: This configuration parameter is currently in beta release and has not yet been fully tested.",[link](../json/config-output-generic_Report_Surveillance_Event_Recorder_Events.json)
Report_Surveillance_Event_Recorder_Ignore_Events_In_List,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Surveillance_Event_Recorder_Events** array will be included in the ReportSurveillanceEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. If you want to return all events from the simulation, leave the events array empty.

Note: This configuration parameter is currently in beta release and has not yet been fully tested. 

.. csv-table::
    :header: Value, Events array, Output file 
    :widths: 1, 2, 2

    0, No events, No events
    0, One or more events, Only the listed events.
    1, No events, All events occurring in the simulation.
    1, One or more events, ""All simulation events occurring in the simulation, except for those listed.""",[link](../json/config-output-generic_Report_Surveillance_Event_Recorder_Ignore_Events_In_List.json)
Report_Surveillance_Event_Recorder_Stats_By_IPs,array of strings,NA,NA,[],"Specifies an array of (optional) individual property keys, as defined in **IndividualProperties** in the demographics file, to be added to the ReportSurveillanceEventRecorder.csv output report. For each key:value pair there will be two additional columns (Key:Value:NumIndividuals, Key:Value:NumInfected) added to the report. For example, with a Risk property key assigned the values of LOW and HIGH there would then be four additional columns (Risk:LOW:NumIndividuals, Risk:LOW:NumInfected, Risk:HIGH:NumIndividuals, Risk:HIGH:NumInfected). An empty array equals no additional columns added.",[link](../json/config-output-generic_Report_Surveillance_Event_Recorder_Stats_By_IPs.json)
Spatial_Output_Channels,array of strings,NA,NA,[],"An array of channel names for spatial output by node and time step. The data from each channel will be written to a separate binary file. **Enable_Spatial_Output** must be set to true (1). Possible values are:

Air_Temperature
    Data related to air temperature.
Births
    Data related to the number of births.
Campaign_Cost
    Data related to the costs of a campaign.
Disease_Deaths
    Data related to the number of deaths due to disease.
Human_Infectious_Reservoir
    Data related to the total infectiousness of the population.
Infection_Rate
   Data related to infection rates.
Land_Temperature
    Data related to the average land temperature over all nodes.
New_Infections
    Data related to the presence of new infections.
New_Reported_Infections
    Data related to the presence of reported new infections.
Population
    Data related to the total population in the simulation.
Prevalence
    Data related to the fraction of the population that is infected.
Rainfall
    Data related to the presence of rainfall.
Relative_Humidity
    Data related to the presence of relative humidity.
       

",[link](../json/config-output-generic_Spatial_Output_Channels.json)
Start_Day,float,0,3.40282e+38,0,"The day to start collecting data for the report. Used in all reports that are subclasses of BaseEventReport, such as: ReportEventCounter, MalariaTransmissionReport, and BaseEventReportIntervalOutput.",[link](../json/config-output-generic_Start_Day.json)
